"","class","v","id"
"1","obs-parent",1.47053061271034,"xxxx---|0000100|0000011"
"2","obs-parent",1.80246066565878,"xxxx---|0000100|0000011"
"3","obs-parent",1.3129834449821,"xxxx---|0000100|0000011"
"4","obs-parent",1.10037612195002,"xxxx---|0000100|0000011"
"5","obs-parent",2.13548455212358,"xxxx---|0000100|0000011"
"6","obs-parent",1.31017961616443,"xxxx---|0000100|0000011"
"7","obs-parent",1.95888689565426,"xxxx---|0000100|0000011"
"8","obs-parent",1.16118515284603,"xxxx---|0000100|0000011"
"9","obs-parent",1.90495080630297,"xxxx---|0000100|0000011"
"10","obs-parent",1.47880416842558,"xxxx---|0000100|0000011"
"11","obs-parent",1.08554587177912,"xxxx---|0000100|0000011"
"12","obs-parent",1.78167768136572,"xxxx---|0000100|0000011"
"13","obs-parent",1.57760612747738,"xxxx---|0000100|0000011"
"14","obs-parent",5.66207193478522,"xxxx---|0000100|0000011"
"15","obs-parent",1.90818423395673,"xxxx---|0000100|0000011"
"16","obs-parent",2.04270161906086,"xxxx---|0000100|0000011"
"17","obs-parent",3.13316783866681,"xxxx---|0000100|0000011"
"18","obs-parent",1.87913370984912,"xxxx---|0000100|0000011"
"19","obs-parent",1.19848695742053,"xxxx---|0000100|0000011"
"20","obs-parent",2.39449859106157,"xxxx---|0000100|0000011"
"21","obs-parent",2.15491789133559,"xxxx---|0000100|0000011"
"22","obs-parent",3.03779809290504,"xxxx---|0000100|0000011"
"23","obs-parent",1.2333812349403,"xxxx---|0000100|0000011"
"24","obs-parent",1.2138402461295,"xxxx---|0000100|0000011"
"25","obs-parent",1.35669350680501,"xxxx---|0000100|0000011"
"26","obs-parent",1.67518558004887,"xxxx---|0000100|0000011"
"27","obs-parent",1.42871310472723,"xxxx---|0000100|0000011"
"28","obs-parent",2.46599254713938,"xxxx---|0000100|0000011"
"29","obs-parent",1.64669099495521,"xxxx---|0000100|0000011"
"30","obs-parent",3.69894274938279,"xxxx---|0000100|0000011"
"31","obs-parent",2.58336003018906,"xxxx---|0000100|0000011"
"32","obs-parent",1.95314772905544,"xxxx---|0000100|0000011"
"33","obs-parent",5.19661522678009,"xxxx---|0000100|0000011"
"34","obs-parent",1.36026770935457,"xxxx---|0000100|0000011"
"35","obs-parent",1.89034917866032,"xxxx---|0000100|0000011"
"36","obs-parent",2.46751844979782,"xxxx---|0000100|0000011"
"37","obs-parent",6.5169639787827,"xxxx---|0000100|0000011"
"38","obs-parent",3.91645979833351,"xxxx---|0000100|0000011"
"39","obs-parent",5.50089909505743,"xxxx---|0000100|0000011"
"40","obs-parent",1.55415071362441,"xxxx---|0000100|0000011"
"41","obs-parent",4.7058237886953,"xxxx---|0000100|0000011"
"42","obs-parent",2.34464551592612,"xxxx---|0000100|0000011"
"43","obs-parent",2.26756333011686,"xxxx---|0000100|0000011"
"44","obs-parent",3.73663427390198,"xxxx---|0000100|0000011"
"45","obs-parent",4.96802511416513,"xxxx---|0000100|0000011"
"46","obs-parent",3.45477608513782,"xxxx---|0000100|0000011"
"47","obs-parent",3.25287358665574,"xxxx---|0000100|0000011"
"48","obs-parent",3.76201901761055,"xxxx---|0000100|0000011"
"49","obs-parent",1.53938806354412,"xxxx---|0000100|0000011"
"50","obs-parent",3.87091956812033,"xxxx---|0000100|0000011"
"51","obs-parent",6.07203069509071,"xxxx---|0000100|0000011"
"52","pred",0.96180098012116,"xxxx---|0000100|0000011"
"53","pred",2.19941910236135,"xxxx---|0000100|0000011"
"54","pred",1.19624918279868,"xxxx---|0000100|0000011"
"55","pred",2.54731457199271,"xxxx---|0000100|0000011"
"56","pred",1.18591205024583,"xxxx---|0000100|0000011"
"57","pred",2.26433702155738,"xxxx---|0000100|0000011"
"58","pred",1.86807804278484,"xxxx---|0000100|0000011"
"59","pred",0.930620180132899,"xxxx---|0000100|0000011"
"60","pred",2.72935029495,"xxxx---|0000100|0000011"
"61","pred",1.73958590227582,"xxxx---|0000100|0000011"
"62","pred",2.24024293362638,"xxxx---|0000100|0000011"
