"","class","v","id"
"1","obs-parent",1.52858277472993,"xxx---x|0001100|0000010"
"2","obs-parent",1.68614662618428,"xxx---x|0001100|0000010"
"3","obs-parent",1.40470111977383,"xxx---x|0001100|0000010"
"4","obs-parent",1.22408819251829,"xxx---x|0001100|0000010"
"5","obs-parent",2.27384635704398,"xxx---x|0001100|0000010"
"6","obs-parent",1.75565831333709,"xxx---x|0001100|0000010"
"7","obs-parent",1.07602539557784,"xxx---x|0001100|0000010"
"8","obs-parent",2.09701750789779,"xxx---x|0001100|0000010"
"9","obs-parent",1.30022989442578,"xxx---x|0001100|0000010"
"10","obs-parent",1.64146855666731,"xxx---x|0001100|0000010"
"11","obs-parent",1.21669870724175,"xxx---x|0001100|0000010"
"12","obs-parent",1.75728684946905,"xxx---x|0001100|0000010"
"13","obs-parent",1.45136765616692,"xxx---x|0001100|0000010"
"14","obs-parent",2.11161664471065,"xxx---x|0001100|0000010"
"15","obs-parent",2.05831548986126,"xxx---x|0001100|0000010"
"16","obs-parent",2.02300675612343,"xxx---x|0001100|0000010"
"17","obs-parent",1.1297142050953,"xxx---x|0001100|0000010"
"18","obs-parent",1.2419372666905,"xxx---x|0001100|0000010"
"19","obs-parent",1.62460379130678,"xxx---x|0001100|0000010"
"20","obs-parent",1.62712923407826,"xxx---x|0001100|0000010"
"21","obs-parent",1.81307438002075,"xxx---x|0001100|0000010"
"22","obs-parent",1.71934737140446,"xxx---x|0001100|0000010"
"23","obs-parent",1.63724694724123,"xxx---x|0001100|0000010"
"24","obs-parent",3.52553018167205,"xxx---x|0001100|0000010"
"25","obs-parent",1.61027781006802,"xxx---x|0001100|0000010"
"26","obs-parent",1.34137779151854,"xxx---x|0001100|0000010"
"27","obs-parent",2.01322126457698,"xxx---x|0001100|0000010"
"28","obs-parent",2.12346590687511,"xxx---x|0001100|0000010"
"29","obs-parent",1.85211462589489,"xxx---x|0001100|0000010"
"30","obs-parent",1.5277463713995,"xxx---x|0001100|0000010"
"31","obs-parent",1.69180186540015,"xxx---x|0001100|0000010"
"32","obs-parent",1.23961520593674,"xxx---x|0001100|0000010"
"33","obs-parent",1.96528542779133,"xxx---x|0001100|0000010"
"34","obs-parent",2.63606122990465,"xxx---x|0001100|0000010"
"35","obs-parent",1.40586817312535,"xxx---x|0001100|0000010"
"36","obs-parent",2.62885293941974,"xxx---x|0001100|0000010"
"37","obs-parent",1.76108336212699,"xxx---x|0001100|0000010"
"38","obs-parent",1.14023614564638,"xxx---x|0001100|0000010"
"39","obs-parent",1.96951764853583,"xxx---x|0001100|0000010"
"40","obs-parent",1.33380376410363,"xxx---x|0001100|0000010"
"41","obs-parent",1.66263240487393,"xxx---x|0001100|0000010"
"42","obs-parent",1.38173558614799,"xxx---x|0001100|0000010"
"43","obs-parent",1.35458805487867,"xxx---x|0001100|0000010"
"44","obs-parent",1.8107086215081,"xxx---x|0001100|0000010"
"45","obs-parent",2.31738738486864,"xxx---x|0001100|0000010"
"46","obs-parent",3.06461484449015,"xxx---x|0001100|0000010"
"47","obs-parent",1.7759023386844,"xxx---x|0001100|0000010"
"48","obs-parent",1.34296331063443,"xxx---x|0001100|0000010"
"49","obs-parent",1.06903280139284,"xxx---x|0001100|0000010"
"50","obs-parent",2.10060418265802,"xxx---x|0001100|0000010"
"51","obs-parent",1.69506019404062,"xxx---x|0001100|0000010"
"52","obs-parent",1.04940530491242,"xxx---x|0001100|0000010"
"53","obs-parent",3.86091839396728,"xxx---x|0001100|0000010"
"54","obs-parent",1.19257943708256,"xxx---x|0001100|0000010"
"55","obs-parent",1.13774927310005,"xxx---x|0001100|0000010"
"56","obs-parent",1.48928860967428,"xxx---x|0001100|0000010"
"57","obs-parent",1.03243379054726,"xxx---x|0001100|0000010"
"58","obs-parent",2.60668673837134,"xxx---x|0001100|0000010"
"59","obs-parent",1.33248844869966,"xxx---x|0001100|0000010"
